,Nama Hotel,Rating,Lokasi,Harga per Malam
0,Wyndham Surabaya," 8.7 (6,6K reviews)","Genteng, Surabaya",Rp 826.446
1,G Suites Hotel by AMITHYA, 8.2 (10K reviews),"Gubeng, Surabaya",Rp 325.533
2,Sheraton Surabaya Hotel and Towers," 8.9 (3,3K reviews)","Tegalsari, Surabaya",Rp 1.555.000
3,"Four Points by Sheraton Surabaya, Tunjungan Plaza", 9.2 (698 reviews),"Tegalsari, Surabaya",Rp 1.290.000
4,Tunjungan Hotel Surabaya, 8.0 (11K reviews),"Tegalsari, Surabaya",Rp 396.694
5,G Suites Hotel by AMITHYA, 8.2 (10K reviews),"Gubeng, Surabaya",Rp 325.533
6,Grand Darmo Suite by AMITHYA," 8.4 (8,9K reviews)","Wonokromo, Surabaya",Rp 456.638
7,Four Points by Sheraton Surabaya Pakuwon Indah," 9.0 (2,4K reviews)","Wiyung, Surabaya",Rp 1.280.000
8,Fairfield By Marriott Surabaya," 8.7 (4,1K reviews)","Dukuh Pakis, Surabaya",Rp 584.750
9,Two Bedroom Apartment at Supermall Tanglin Surabaya (Miracle), 8.3 (162 reviews),"Wiyung, Surabaya",Rp 491.736
10,Hotel Ciputra World Surabaya managed by Swiss-Belhotel International," 8.8 (3,7K reviews)","Sawahan, Surabaya",Rp 847.934
11,Swiss-Belinn Manyar Surabaya," 8.7 (4,7K reviews)","Mulyorejo, Surabaya",Rp 644.628
12,DoubleTree by Hilton Surabaya," 8.9 (1,2K reviews)","Genteng, Surabaya",Rp 958.562
13,Two Bedroom Apartment at Supermall Tanglin Surabaya (Miracle), 8.3 (162 reviews),"Wiyung, Surabaya",Rp 491.736
14,Hotel Ciputra World Surabaya managed by Swiss-Belhotel International," 8.8 (3,7K reviews)","Sawahan, Surabaya",Rp 847.934
15,Swiss-Belinn Manyar Surabaya," 8.7 (4,7K reviews)","Mulyorejo, Surabaya",Rp 644.628
16,DoubleTree by Hilton Surabaya," 8.9 (1,2K reviews)","Genteng, Surabaya",Rp 958.562
17,"THE ALIMAR PREMIER HOTEL Surabaya near UNAIR Airlangga , Galaxy Mall, KONI , ITS , Kenjeran , Suramadu , Indonesia"," 8.2 (2,1K reviews)","Mulyorejo, Surabaya",Rp 557.851
18,Quest Hotel Darmo - Surabaya by ASTON," 8.5 (6,8K reviews)","Tegalsari, Surabaya",Rp 370.413
19,favehotel Graha Agung Surabaya," 8.1 (3,3K reviews)","Wiyung, Surabaya",Rp 417.940
20,Fairfield By Marriott Surabaya," 8.7 (4,1K reviews)","Dukuh Pakis, Surabaya",Rp 584.750
21,Neo+ Waru Sidoarjo by ASTON, 8.4 (4K reviews),"Waru, Surabaya",Rp 338.205
22,The Southern Hotel Surabaya, 8.9 (129 reviews),"Tenggilis Mejoyo, Surabaya",Rp 455.810
23,Cleo Hotel Jemursari Surabaya," 8.5 (8,7K reviews)","Tenggilis Mejoyo, Surabaya",Rp 273.348
24,Ascott Waterplace Surabaya," 8.8 (2,3K reviews)","Wiyung, Surabaya",Rp 1.570.248
25,Zest Jemursari by Swiss-Belhotel International," 8.4 (8,8K reviews)","Tenggilis Mejoyo, Surabaya",Rp 264.463
26,Regantris Hotel Surabaya," 8.6 (3,6K reviews)","Tegalsari, Surabaya",Rp 360.826
27,d'primahotel Jemursari Surabaya, 9.3 (251 reviews),"Wonocolo, Surabaya",Rp 454.825
28,Cordia Hotel Surabaya Airport - Hotel Dalam Bandara, 8.7 (389 reviews),"Sedati, Surabaya",Rp 400.826
29,PanaHouse Surabaya, 8.5 (690 reviews),"Wonokromo, Surabaya",Rp 263.636
30,Grace Setia Hotel," 8.3 (2,8K reviews)","Mulyorejo, Surabaya",Rp 217.562
31,Bella Hotel Surabaya," 8.1 (4,4K reviews)","Dukuh Pakis, Surabaya",Rp 223.140
32,Ngagel Residence Surabaya, 8.6 (378 reviews),"Gubeng, Surabaya",Rp 166.502
33,Hotel Oval," 8.1 (5,7K reviews)","Wonokromo, Surabaya",Rp 245.771
34,Super OYO 217 A1 Hotel, 7.7 (1K reviews),"Wiyung, Surabaya",Rp 232.316
35,Super OYO Collection O 30 Amega Crown Sub," 8.8 (1,2K reviews)","Waru, Surabaya",Rp 326.104
36,The Win Hotel Surabaya, 8.4 (4K reviews),"Genteng, Surabaya",Rp 255.424
37,Sans Hotel 88 Andalan Surabaya by RedDoorz, 9.0 (87 reviews),"Wonokromo, Surabaya",Rp 307.488
38,Twin Tower Hotel & Residence, 8.3 (177 reviews),"Genteng, Surabaya",Rp 372.273
39,Frank's Hotel, 8.3 (601 reviews),"Mulyorejo, Surabaya",Rp 235.537
